Brasil e Município,Origem da orientação técnica recebida,Grupos de atividade econômica,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação
Dois Irmãos (RS),Total,Produção de lavouras temporárias,1,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1
Dois Irmãos das Missões (RS),Total,Total,,,,,,,,8,5,,,,,,,,,,8,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,1,3,,,,,,,,,,7,2,,
Dois Irmãos das Missões (RS),Total,Produção de lavouras temporárias,,,,,,,,7,1,,,,,,,,,,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,
Dois Lajeados (RS),Total,Total,1,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2
Dois Lajeados (RS),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dom Feliciano (RS),Total,Total,7,1,,11,,,4,9,17,1,2,,,,1,,,,,3,,1,7,1,,10,,,4,9,14,1,1,1,,,2,,,2,2,3,,1,6,1,,8,,,2,7,11,1,,,,,,,,,,,,,,,,1,,,,,3,,1,7,1,,10,,,4,9,14,1,1
Dom Feliciano (RS),Total,Produção de lavouras temporárias,3,1,,10,,,4,8,14,1,1,,,,1,,,,,3,,,3,1,,9,,,4,8,11,1,1,1,,,2,,,2,2,3,,1,2,1,,7,,,2,6,8,1,,,,,,,,,,,,,,,,1,,,,,3,,,3,1,,9,,,4,8,11,1,1
Dom Pedro de Alcântara (RS),Total,Total,26,2,,3,,1,1,,2,,,1,,,,,,,,,,,25,2,,3,,1,1,,2,,,3,,,,,1,,,1,,,22,2,,3,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,25,2,,3,,1,1,,2,,
Dom Pedro de Alcântara (RS),Total,Produção de lavouras temporárias,2,,,3,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,
Dom Pedrito (RS),Total,Total,20,4,,161,1,1,4,15,12,2,8,2,,,143,1,1,3,14,6,1,1,18,4,,18,,,1,1,6,1,7,4,1,,,,,,,,,3,14,3,,18,,,1,1,6,1,4,,,,,,,,,,,,2,,,69,1,,2,4,2,1,1,18,4,,92,,1,2,11,10,1,7
Dom Pedrito (RS),Total,Produção de lavouras temporárias,6,1,,151,1,1,3,14,7,,1,,,,134,1,1,3,13,6,,,6,1,,17,,,,1,1,,1,1,,,,,,,,,,,5,1,,17,,,,1,1,,1,,,,,,,,,,,,,,,62,1,,2,3,2,,,6,1,,89,,1,1,11,5,,1
Dona Francisca (RS),Total,Total,6,,,168,1,,,,3,3,,,,,4,,,,,,,,6,,,164,1,,,,3,3,,2,,,5,,,,,1,,,4,,,156,1,,,,2,3,,,,,3,,,,,,,,,,,7,,,,,,,,6,,,161,1,,,,3,3,
Dona Francisca (RS),Total,Produção de lavouras temporárias,5,,,165,1,,,,3,2,,,,,4,,,,,,,,5,,,161,1,,,,3,2,,2,,,5,,,,,1,,,3,,,153,1,,,,2,2,,,,,3,,,,,,,,,,,7,,,,,,,,5,,,158,1,,,,3,2,
Doutor Maurício Cardoso (RS),Total,Total,7,3,,,,,,2,8,1,4,1,,,,,,,1,3,1,,6,3,,,,,,1,5,,4,,,,,,,,,,,,6,3,,,,,,1,5,,4,,,,,,,,,,,,1,,,,,,,1,3,1,,6,3,,,,,,1,5,,4
Doutor Maurício Cardoso (RS),Total,Produção de lavouras temporárias,3,,,,,,,2,2,,2,,,,,,,,1,,,,3,,,,,,,1,2,,2,,,,,,,,,,,,3,,,,,,,1,2,,2,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,1,2,,2
Doutor Ricardo (RS),Total,Total,3,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,1,,,1,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,
Doutor Ricardo (RS),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldorado do Sul (RS),Total,Total,8,9,,159,,,2,3,7,2,8,3,1,,44,,,1,3,3,1,,5,8,,115,,,1,,4,1,8,3,,,5,,,,,2,,2,2,8,,110,,,1,,2,1,6,,,,,,,,,,,,3,1,,42,,,1,3,3,1,,5,8,,117,,,1,,4,1,8
Eldorado do Sul (RS),Total,Produção de lavouras temporárias,2,6,,156,,,2,2,5,1,5,,,,42,,,1,2,2,,,2,6,,114,,,1,,3,1,5,1,,,5,,,,,2,,,1,6,,109,,,1,,1,1,5,,,,,,,,,,,,,,,40,,,1,2,2,,,2,6,,116,,,1,,3,1,5
Encantado (RS),Total,Total,1,1,,,,,,,1,1,3,,,,,,,,,,,,1,1,,,,,,,1,1,3,,,,,,,,,,,1,1,1,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,3
Encantado (RS),Total,Produção de lavouras temporárias,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Encruzilhada do Sul (RS),Total,Total,37,9,1,25,8,5,10,5,10,3,3,12,2,1,12,3,2,4,3,4,,2,25,7,,13,5,3,6,2,6,3,1,5,1,,3,,1,,,,2,,18,6,,10,5,2,5,2,6,1,1,2,,,,,,1,,,,,13,2,1,12,3,2,4,2,3,,2,24,7,,13,5,3,6,3,7,3,1
Encruzilhada do Sul (RS),Total,Produção de lavouras temporárias,12,1,,19,7,3,4,2,4,1,1,2,,,11,3,1,1,2,2,,,10,1,,8,4,2,3,,2,1,1,1,,,,,1,,,,,,7,1,,8,4,1,2,,2,1,1,2,,,,,,1,,,,,4,,,11,3,1,2,2,1,,,8,1,,8,4,2,2,,3,1,1
Engenho Velho (RS),Total,Total,3,1,,,,,,5,4,2,56,2,1,,,,,,1,1,,8,1,,,,,,,4,3,2,48,,,,,,,,1,,,8,1,,,,,,,3,3,2,36,,,,,,,,,,,4,2,1,,,,,,1,1,,12,1,,,,,,,4,3,2,44
Engenho Velho (RS),Total,Produção de lavouras temporárias,,1,,,,,,1,,1,33,,1,,,,,,,,,4,,,,,,,,1,,1,29,,,,,,,,,,,4,,,,,,,,1,,1,23,,,,,,,,,,,2,,1,,,,,,,,,6,,,,,,,,1,,1,27
Entre-Ijuís (RS),Total,Total,1,,,2,,,,9,13,2,2,,,,,,,,9,3,,,1,,,2,,,,,10,2,2,,,,2,,,,,,2,1,1,,,,,,,,7,,1,,,,,,,,,3,,,,,,,,,,5,5,,,1,,,2,,,,4,8,2,2
Entre-Ijuís (RS),Total,Produção de lavouras temporárias,,,,2,,,,8,4,1,1,,,,,,,,8,2,,,,,,2,,,,,2,1,1,,,,2,,,,,,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,5,1,,,,,,2,,,,3,3,1,1
Entre Rios do Sul (RS),Total,Total,2,1,,,,,,,8,1,2,,,,,,,,,,,,2,1,,,,,,,8,1,2,,,,,,,,,,,1,2,1,,,,,,,8,1,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,8,1,2
Entre Rios do Sul (RS),Total,Produção de lavouras temporárias,1,,,,,,,,3,,1,,,,,,,,,,,,1,,,,,,,,3,,1,,,,,,,,,,,,1,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,1
Erebango (RS),Total,Total,2,,,,,,,1,9,,4,,,,,,,,1,,,4,2,,,,,,,,9,,,,,,,,,,,,,,2,,,,,,,,7,,,,,,,,,,,2,,,,,,,,,,1,2,,4,2,,,,,,,,7,,
Erebango (RS),Total,Produção de lavouras temporárias,1,,,,,,,1,5,,2,,,,,,,,1,,,2,1,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,1,1,,2,1,,,,,,,,4,,
Erechim (RS),Total,Total,13,12,,,,,2,,18,1,4,2,4,,,,,,,2,1,3,11,8,,,,,2,,16,,1,3,1,,,,,,,1,,,7,5,,,,,2,,14,,1,1,2,,,,,,,1,,,3,6,,,,,,,3,1,3,10,6,,,,,2,,15,,1
Erechim (RS),Total,Produção de lavouras temporárias,2,2,,,,,,,4,,1,,,,,,,,,1,,,2,2,,,,,,,3,,1,,,,,,,,,,,,2,2,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,1,,,2,2,,,,,,,3,,1
Ernestina (RS),Total,Total,1,2,,,,,,4,6,,,,1,,,,,,,3,,,1,1,,,,,,4,3,,,1,1,,,,,,,1,,,,,,,,,,4,2,,,,,,,,,,,,,,,1,,,,,,,3,,,1,1,,,,,,4,3,,
Ernestina (RS),Total,Produção de lavouras temporárias,1,1,,,,,,,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,
Herval (RS),Total,Total,2,1,1,5,,,1,,3,,7,,,,2,,,1,,1,,1,2,1,1,3,,,,,2,,6,1,,1,,,,,,,,4,1,1,,2,,,,,2,,2,,,,1,,,,,,,,,,,1,,,1,,1,,1,2,1,1,4,,,,,2,,6
Herval (RS),Total,Produção de lavouras temporárias,1,1,,5,,,1,,1,,5,,,,2,,,1,,,,1,1,1,,3,,,,,1,,4,1,,,,,,,,,,2,,1,,2,,,,,1,,2,,,,1,,,,,,,,,,,1,,,1,,,,1,1,1,,4,,,,,1,,4
Erval Grande (RS),Total,Total,7,1,,,,,,,14,1,5,,1,,,,,,,3,,,7,,,,,,,,11,1,5,1,,,,,,,,,,2,6,,,,,,,,11,1,3,,,,,,,,,,,,,1,,,,,,,3,,,7,,,,,,,,11,1,5
Erval Grande (RS),Total,Produção de lavouras temporárias,1,,,,,,,,2,,3,,,,,,,,,,,,1,,,,,,,,2,,3,,,,,,,,,,,2,1,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,3
Erval Seco (RS),Total,Total,1,1,,,,,3,4,6,1,,,,,,,,1,4,3,,,1,1,,,,,2,,3,1,,,,,,,,,,,,,1,,,,,,2,,3,1,,,1,,,,,,,,,,,1,,,,,1,2,3,,,1,,,,,,2,2,3,1,
Erval Seco (RS),Total,Produção de lavouras temporárias,1,1,,,,,2,4,3,,,,,,,,,1,4,2,,,1,1,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,,1,,,,,1,2,2,,,1,,,,,,1,2,1,,
Esmeralda (RS),Total,Total,3,,,,,,,2,3,,1,2,,,,,,,1,,,,1,,,,,,,1,3,,1,,,,,,,,,,,1,1,,,,,,,1,3,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,2,3,,1
Esmeralda (RS),Total,Produção de lavouras temporárias,,,,,,,,1,1,,1,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1
Esperança do Sul (RS),Total,Total,2,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,1,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,
Esperança do Sul (RS),Total,Produção de lavouras temporárias,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Espumoso (RS),Total,Total,3,1,,,,,,3,3,,,1,,,,,,,1,1,,,2,1,,,,,,2,2,,,,,,,,,,,,,,2,1,,,,,,1,2,,,,,,,,,,1,,,,1,,,,,,,2,,,,2,1,,,,,,1,3,,
Espumoso (RS),Total,Produção de lavouras temporárias,1,,,,,,,3,1,,,1,,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,2,,,,,,,,,,,1,1,,
Estação (RS),Total,Total,1,1,1,,,,2,,6,,3,,1,,,,,,,,,,1,,1,,,,2,,6,,3,,,,,,,,,1,,1,1,,1,,,,2,,4,,1,,,,,,,,,1,,1,,1,,,,,,,1,,1,1,,1,,,,2,,5,,2
Estação (RS),Total,Produção de lavouras temporárias,,,1,,,,,,2,,1,,,,,,,,,,,,,,1,,,,,,2,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,,1,,,,,,1,,
Estância Velha (RS),Total,Total,4,,,,,1,1,,7,,1,2,,,,,,,,1,,,2,,,,,1,1,,6,,1,,,,,,,,,2,,1,2,,,,,1,1,,4,,,,,,,,,,,,,,2,,,,,,,,1,,,2,,,,,1,1,,6,,1
Estância Velha (RS),Total,Produção de lavouras temporárias,2,,,,,,,,2,,,2,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,1,,
Esteio (RS),Total,Total,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Esteio (RS),Total,Produção de lavouras temporárias,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Estrela (RS),Total,Total,7,,1,,,,3,1,7,,4,2,,,,,,2,,1,,3,5,,1,,,,1,1,6,,1,,,,,,,,,1,,,5,,1,,,,1,1,4,,1,,,,,,,,,1,,,1,,,,,,1,,2,,3,6,,1,,,,2,1,5,,1
Estrela (RS),Total,Produção de lavouras temporárias,1,,,,,,,,2,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,
Estrela Velha (RS),Total,Total,1,1,,,,,5,5,7,,2,,,,,,,,4,2,,,1,1,,,,,5,1,5,,2,,1,,,,,,,,,1,1,,,,,,5,1,5,,1,,,,,,,,,,,,,,,,,,,3,2,,,1,1,,,,,5,2,5,,2
Estrela Velha (RS),Total,Produção de lavouras temporárias,,,,,,,5,3,5,,1,,,,,,,,3,1,,,,,,,,,5,,4,,1,,,,,,,,,,,1,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,5,1,4,,1
Eugênio de Castro (RS),Total,Total,,,,,,,2,9,12,,1,,,,,,,2,9,1,,,,,,,,,,,11,,1,,,,,,,,,,,,,,,,,,,,11,,1,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,1,5,11,,1
Eugênio de Castro (RS),Total,Produção de lavouras temporárias,,,,,,,1,8,5,,1,,,,,,,1,8,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,5,5,,1
Fagundes Varela (RS),Total,Total,,1,,,,,,1,2,,,,,,,,,,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,1,,
Fagundes Varela (RS),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farroupilha (RS),Total,Total,202,81,,2,,1,1,2,32,1,5,21,11,,,,,,2,5,,1,181,70,,2,,1,1,,27,1,4,17,11,,,,1,1,,4,,,149,57,,2,,,,,23,1,4,15,2,,,,,,,,,,36,12,,,,,,2,4,,1,166,69,,2,,1,1,,28,1,4
Farroupilha (RS),Total,Produção de lavouras temporárias,7,5,,,,,,1,,,,2,1,,,,,,1,,,,5,4,,,,,,,,,,1,1,,,,,,,,,,3,3,,,,,,,,,,1,,,,,,,,,,,3,1,,,,,,1,,,,4,4,,,,,,,,,
Faxinal do Soturno (RS),Total,Total,1,1,,144,,,5,,2,1,,,,,15,,,,,,,,1,1,,129,,,5,,2,1,,,1,,17,,,1,,,1,,1,,,111,,,4,,2,,,,,,1,,,,,,,,,,,16,,,,,,,,1,1,,128,,,5,,2,1,
Faxinal do Soturno (RS),Total,Produção de lavouras temporárias,,,,139,,,3,,,,,,,,14,,,,,,,,,,,125,,,3,,,,,,,,16,,,1,,,,,,,,108,,,2,,,,,,,,1,,,,,,,,,,,15,,,,,,,,,,,124,,,3,,,,
Faxinalzinho (RS),Total,Total,2,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,
Faxinalzinho (RS),Total,Produção de lavouras temporárias,2,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
Fazenda Vilanova (RS),Total,Total,4,1,,,,,,,,,1,1,,,,,,,,,,1,3,1,,,,,,,,,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,3,1,,,,,,,,,
Fazenda Vilanova (RS),Total,Produção de lavouras temporárias,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Feliz (RS),Total,Total,200,55,,,,1,1,,3,,,19,7,,,,,,,,,,181,48,,,,1,1,,3,,,12,3,,,,,,,2,,,164,45,,,,1,1,,1,,,5,,,,,,,,,,,24,7,,,,,,,,,,176,48,,,,1,1,,3,,
Feliz (RS),Total,Produção de lavouras temporárias,6,2,,,,,,,1,,,,1,,,,,,,,,,6,1,,,,,,,1,,,1,,,,,,,,1,,,5,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,1,,,,,,,1,,
Flores da Cunha (RS),Total,Total,165,66,2,1,,,1,,42,1,6,26,8,1,,,,,,6,1,1,139,58,1,1,,,1,,36,,5,5,1,1,,,,,,6,,1,128,50,,1,,,1,,30,,4,6,7,,,,,,,,,,31,14,1,,,,,,6,1,1,134,52,1,1,,,1,,36,,5
Flores da Cunha (RS),Total,Produção de lavouras temporárias,11,14,,1,,,,,15,,,2,,,,,,,,3,,,9,14,,1,,,,,12,,,,,,,,,,,4,,,9,13,,1,,,,,8,,,,1,,,,,,,,,,2,1,,,,,,,3,,,9,13,,1,,,,,12,,
Floriano Peixoto (RS),Total,Total,8,2,,,,,,,4,,,,1,,,,,,,,,,8,1,,,,,,,4,,,1,,,,,,,,,,,7,1,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,8,1,,,,,,,4,,
Floriano Peixoto (RS),Total,Produção de lavouras temporárias,2,1,,,,,,,1,,,,1,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,1,,
Fontoura Xavier (RS),Total,Total,2,2,1,,,,,,,1,4,1,1,,,,,,,,,,1,1,1,,,,,,,1,4,,,1,,,,,,,1,3,1,1,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,1,1,1,,,,,,,1,4
Fontoura Xavier (RS),Total,Produção de lavouras temporárias,1,,1,,,,,,,,2,1,,,,,,,,,,,,,1,,,,,,,,2,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,2
Formigueiro (RS),Total,Total,8,1,,205,,,,5,1,,2,2,,,90,,,,3,,,,6,1,,115,,,,2,1,,2,3,1,,15,,,,,1,,2,3,,,98,,,,2,,,,,,,2,,,,,,,,2,,,87,,,,3,,,,6,1,,118,,,,2,1,,2
Formigueiro (RS),Total,Produção de lavouras temporárias,1,,,198,,,,3,1,,,,,,87,,,,2,,,,1,,,111,,,,1,1,,,,,,14,,,,,1,,,1,,,95,,,,1,,,,,,,2,,,,,,,,,,,84,,,,2,,,,1,,,114,,,,1,1,,
Forquetinha (RS),Total,Total,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
Forquetinha (RS),Total,Produção de lavouras temporárias,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Fortaleza dos Valos (RS),Total,Total,1,,,,,,1,17,1,1,,,,,,,,1,14,,,,1,,,,,,,3,1,1,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,2,,,,,,,,,,1,11,,,,1,,,,,,,6,1,1,
Fortaleza dos Valos (RS),Total,Produção de lavouras temporárias,,,,,,,1,16,1,1,,,,,,,,1,13,,,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,2,,,,,,,,,,1,11,,,,,,,,,,,5,1,1,
Frederico Westphalen (RS),Total,Total,14,8,4,,,,,,26,,14,2,2,,,,,,,1,,3,12,6,4,,,,,,25,,11,2,,1,,,,,,1,,5,10,6,3,,,,,,23,,6,,,,,,,,,1,,,2,2,,,,,,,2,,3,12,6,4,,,,,,24,,11
Frederico Westphalen (RS),Total,Produção de lavouras temporárias,3,2,,,,,,,2,,3,1,1,,,,,,,,,,2,1,,,,,,,2,,3,1,,,,,,,,1,,2,1,1,,,,,,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,2,1,,,,,,,2,,3
Garibaldi (RS),Total,Total,63,16,2,2,,,1,3,38,1,9,30,3,1,1,,,,1,4,,3,33,13,1,1,,,1,2,34,1,6,5,1,,1,,,,,2,1,4,27,12,1,,,,1,2,31,,2,1,,,,,,,,1,,,31,3,1,1,,,,1,5,,3,32,13,1,1,,,1,2,33,1,6
Garibaldi (RS),Total,Produção de lavouras temporárias,3,,1,,,,,,2,,4,1,,,,,,,,,,1,2,,1,,,,,,2,,3,1,,,,,,,,,,2,1,,1,,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,1,2,,1,,,,,,2,,3
Garruchos (RS),Total,Total,,,,5,,,,4,8,1,1,,,,1,,,,3,2,1,,,,,4,,,,1,6,,1,,,,,,,,,1,,,,,,4,,,,1,5,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,4,,,,4,8,,1
Garruchos (RS),Total,Produção de lavouras temporárias,,,,5,,,,3,7,1,1,,,,1,,,,3,2,1,,,,,4,,,,,5,,1,,,,,,,,,1,,,,,,4,,,,,4,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,4,,,,3,7,,1
Gaurama (RS),Total,Total,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
Gaurama (RS),Total,Produção de lavouras temporárias,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
General Câmara (RS),Total,Total,5,1,,33,,,3,1,12,,1,2,,,21,,,1,,2,,1,3,1,,12,,,2,1,10,,,1,,,,,,,1,3,,,2,1,,12,,,2,,6,,,,,,,,,,,1,,,2,,,19,,,1,,3,,1,3,1,,14,,,2,1,9,,
General Câmara (RS),Total,Produção de lavouras temporárias,2,,,31,,,3,1,5,,,,,,19,,,1,,2,,,2,,,12,,,2,1,3,,,1,,,,,,,1,1,,,1,,,12,,,2,,2,,,,,,,,,,,,,,,,,17,,,1,,2,,,2,,,14,,,2,1,3,,
Gentil (RS),Total,Total,1,,,,,,,,6,,1,,,,,,,,,,,1,1,,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,,,,,,,,5,,
Gentil (RS),Total,Produção de lavouras temporárias,1,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,
